정보공시 학교코드,시도교육청,교육지원청,지역,학교명,설립구분,점검영역_총개수,미관리_영역수,관리_영역수,최근점검일,평균점검일,점검경과일_평균,점검경과일_최근,학교급,환경_부적합_수,환경_미실시_수,환경_위험항목_수,학생수,환경위험_log,미관리_norm,환경위험_norm,경과일_norm,위험도_점수,위험군,우선순위_점수
S160002368,경상남도교육청,창원교육지원청,경상남도 창원시 성산구,웅남중학교,공립,6,1,5,2025-02-26,2025-02-07 14:24:00.000000,143.0,125.0,중,0.0,6.0,6.0,606.0,1.9459101490553128,0.1666666666666666,0.5142210981219936,0.0549450549450549,27.717653376215605,고위험,205.3470330583008
S130001027,전북특별자치도교육청,전북특별자치도순창교육지원청,전북특별자치도 순창군,팔덕초등학교,공립,6,2,4,2025-02-18,2024-12-19 06:00:00.000000,193.0,133.0,초,0.0,10.0,10.0,47.0,2.3978952727983707,0.3333333333333333,0.6336614981727329,0.1923076923076923,42.1473576843696,고위험,205.30825135919767
S030001863,대구광역시교육청,대구광역시동부교육지원청,대구광역시 동구,새론중학교,공립,6,0,6,2025-02-27,2025-02-14 04:00:00.000000,136.0,124.0,중,0.0,13.0,13.0,851.0,2.639057329615259,0.0,0.6973903490356274,0.0357142857142857,26.470512995569276,고위험,205.0825898427328
S010001760,서울특별시교육청,서울특별시북부교육지원청,서울특별시 도봉구,서울신방학초등학교,공립,6,1,5,2025-02-28,2025-02-13 14:24:00.000000,137.0,123.0,초,0.0,9.0,9.0,277.0,2.302585092994046,0.1666666666666666,0.6084750807294722,0.0384615384615384,30.94294614330661,고위험,205.07812317917117
S130000954,전북특별자치도교육청,전북특별자치도부안교육지원청,전북특별자치도 부안군,부안초등학교,공립,6,1,5,2025-02-27,2025-01-19 00:00:00.000000,163.0,124.0,초,0.0,9.0,9.0,216.0,2.302585092994046,0.1666666666666666,0.6084750807294722,0.1098901098901098,32.123660429020894,고위험,204.9456561571428
S020000769,부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,금정중학교,사립,6,1,5,2025-02-28,2025-02-13 14:24:00.000000,137.0,123.0,중,0.0,9.0,9.0,274.0,2.302585092994046,0.1666666666666666,0.6084750807294722,0.0384615384615384,30.94294614330661,고위험,204.74239171768448
S010000471,서울특별시교육청,서울특별시교육청,서울특별시 성북구,성신여자고등학교,사립,6,1,5,2025-02-27,2025-01-26 00:00:00.000000,156.0,124.0,고,0.0,6.0,6.0,507.0,1.9459101490553128,0.1666666666666666,0.5142210981219936,0.0906593406593406,28.308010519072752,고위험,204.68054487601205
S070000612,울산광역시교육청,울산광역시강북교육지원청,울산광역시 북구,호계중학교,공립,6,0,6,2025-02-28,2025-02-09 16:00:00.000000,141.0,123.0,중,0.0,11.0,11.0,1237.0,2.4849066497880004,0.0,0.6566548958105609,0.0494505494505494,25.1858807659475,고위험,204.5408959575756
S110000607,충청북도교육청,충청북도옥천교육지원청,충청북도 옥천군,청성초등학교,공립,6,1,5,2025-02-17,2024-11-18 19:12:00.000000,224.0,134.0,초,0.0,43.0,43.0,22.0,3.784189633918261,0.1666666666666666,1.0,0.2774725274725275,49.423287545787545,고위험,204.3897197778076
S050000401,광주광역시교육청,광주광역시서부교육지원청,광주광역시 광산구,월계중학교,공립,6,0,6,2025-02-07,2024-12-10 00:00:00.000000,203.0,144.0,중,0.0,10.0,10.0,682.0,2.3978952727983707,0.0,0.6336614981727329,0.2197802197802197,27.14814523015715,고위험,204.33037552165908
S130001057,전북특별자치도교육청,전북특별자치도완주교육지원청,전북특별자치도 완주군,화산중학교,사립,6,0,6,2025-02-28,2025-02-19 08:00:00.000000,131.0,123.0,중,0.0,21.0,21.0,286.0,3.091042453358316,0.0,0.8168307490863664,0.0219780219780219,30.675885801891763,고위험,204.2855159503713
